[('1e-05_2e-05_0_5', 25.9)]
[('1e-06_2e-06_0_5', 131.8)]
[('1e-06_2e-06_0_5', 40.44505494505494)]
[('1e-07_2e-07_0.2_5', 74.3)]
[('1e-07_2e-07_0_5', 50.1)]
[('0.003_1e-05_0.35_5', 23.0)]
[('0.00025_1e-05_0.35_5', 64.0)]
[('2.5e-05_1e-05_0.35_5', 25.2)]
[('2.5e-05_1e-05_0_5', 61.0)]
[('2.5e-05_1.5e-05_0_5', 23.0)]
[('2.5e-05_1.5e-05_0_5', 23.0)]
[('2.5e-06_1.5e-06_0_5', 67.2)]
[('2.5e-06_1.5e-06_0_5', 39.6)]
[('2.5e-06_1.5e-06_0_5', 213.7)]
[('2.5e-05_1.5e-06_0_5', 41.6)]
[('1.5e-05_1.5e-06_0_5', 23.7)]
[('5e-06_1.5e-06_0_5', 74.4)]
[('5e-07_1.5e-06_0_5', 44.5)]
[('5e-07_1.5e-06_0_5', 1010.0)]
[('5e-07_0_0_5', 46.98)]
[('5e-07_0_0_5', 46.23)]
[('1e-07_0_0_5', 47.61)]
[('0_1.5e-05_0_5', 42.5)]
[('0_1.5e-06_0_5', 54.8)]
[('5e-07_1.5e-06_0_5', 125.2)]
[('5e-07_1e-06_0_5', 131.9)]
[('5e-07_1e-06_0_5', 158.70454545454547)]
[('5e-07_1e-07_0_5', 56.42272727272727)]
[('5e-07_5e-07_0_5', 216.48454545454547)]
[('5e-07_6e-07_0_5', 164.7118181818182), ('5e-07_5e-07_0_5', 149.96163636363636), ('5e-07_8e-07_0_5', 141.34272727272727), ('5e-07_4e-07_0_5', 135.16927272727273)]
[('5e-07_5e-07_0_5', 438.73518681318683), ('5e-07_4e-07_0_5', 408.59991208791206), ('5e-07_6e-07_0_5', 324.852)]
